Frame: {(0,12) (12,12) (12,0) (0,0) (2.68328,5.36656) (0,6.7082) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,6.7082) (0,0) (2.68328,5.36656)  ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (3,0) (0,6) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(3,0) (0,6) (0,0)  ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (1.6641,2.49615) (0,3.60555) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,0) (1.6641,2.49615) (0,3.60555)  ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (2,0) (0,3) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,3) (0,0) (2,0)  ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (3,2) (0,2) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(3,2) (0,2) (0,0)  ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (2.82843,0) (4.24264,7.07107) (0,2.82843) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,2.82843) (0,0) (2.82843,0) (4.24264,7.07107)  ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (3.3282,4.9923) (2.7735,7.7658) (0,7.2111) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(3.3282,4.9923) (2.7735,7.7658) (0,7.2111) (0,0)  ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (3.57771,0.447214) (5.36656,4.02492) (0,6.7082) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,0) (3.57771,0.447214) (5.36656,4.02492) (0,6.7082)  ]
Frame: {(0,12) (12,12) (12,0) (6,0) (3,6) (0,4) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(3,6) (0,4) (0,0) (6,0)  ]
Frame: {(0,12) (12,12) (12,0) (0,0) (6,3) (4,6) (0,6) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(6,3) (4,6) (0,6) (0,0)  ]
